CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U80301AN2009PTC000128,GREEN ISLANDS INSTITUTE OF COMPUTER TRAINING PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2009-12-17,"House No. 01, Sitapur   Rangat Post,North and Middle Andaman,Andaman Islands,Andaman and Nicobar Islands,744205-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,80301,"Community, personal and Social Services"
U80900AN2022OPC005640,RANGON (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,51000.00,51000.00,2022-12-30,"C/O SUSHIL BAWALI, SUBASHGRAM DIGLIPUR   NORTH ANDAMAN NICOBAR,Diglipur,Andaman Islands,Andaman and Nicobar Islands,744202-India",Unlisted,Active,andaman and nicobar islands,Indian,80900,"Community, personal and Social Services"
U80901AN2021PTC005566,CENTRE OF MULTI SKILLS IN EDUCATION PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2021-12-03,"2ND FLOOR, BEHIND ANIDCO PETROL PUMP   GOALGHAR, SOUTH ANDAMAN,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,80901,"Community, personal and Social Services"
U52392AN1997PTC000057,KRONE ELECTRONICS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,0.00,1997-07-28,"Goalghar   Port Blair,NA,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,52392,Trading
U50200AN2012PTC000182,COASTAL SEAWAYS (ISLAND) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,6000000.00,1000000.00,2012-11-12,"127 M G ROAD   JUNGLIGHAT,PORT BLAIR,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,50200,Trading
U45201AN2006PTC000078,A G P CONSTRUCTIONS COMPANY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,500000.00,2006-10-18,"Bathu basti   Garacharma,Port Blair,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,45201,Construction
U61200AN2012PTC000184,FULI AQUA PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-11-30,"51   RABINDRA NAGAR,LITTLE ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744207-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,61200,"Transport, storage and Communications"
U92412AN2015NPL000251,A&N CRICKET FEDERATION,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-03-10,"MB 1-132, Mazar Pahar,  Shadipur,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Active,andaman and nicobar islands,Indian,92412,"Community, personal and Social Services"
U92490AN2017PTC005340,DIVEINDIA EXPLORER PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,100000.00,2017-02-21,"Dive India, Neil Kendra   Neil Island South Andaman,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744104-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,92490,"Community, personal and Social Services"
U93090AN2018PTC005410,ISLAND AIRLINES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,20000000.00,300000.00,2018-06-14,"2nd Floor Island Arcade Building   Junglighat,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,93090,"Community, personal and Social Services"
U74999AN2017PTC005330,VERTIGO INFRASTRUCTURE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-01-10,"BIRD LANE   PORT BLAIR,SOUTH ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2017PTC005381,YELLOWBOARD VACATIONS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,100000.00,2017-11-23,"#12, Sahajeevan Housing Colony   Haddo,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2019PTC005436,RESONANCE ALLIANCE INDIA LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-01-28,"ROOM NO. 283, OPP. CANARA BANK,   DOLLYGUNJ,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U30304AN2024PTC006097,GAIA SPACE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,10000.00,10000.00,2024-05-07,"C/o V Roy Housing Cly,Garacharma BhathuBati,Ferrargunj,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,30304,Manufacturing (Machinery and Equipments)
U55101AN2023PTC006010,BODHIK VILLA BEACH RESORT PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-05-18,"C/O JOGENDRA NATH MONDAL,GOVIND NAGAR-03,Port Blair,South Andaman,Andaman and Nicobar Islands,744211-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,"Transport, storage and Communications"
U55201AN2022PTC005619,NIDEJA HOTEL AND RESORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-09-16,"#5,NEAR TAMIL SANGAM   QUARRY HILL PHONIX BAY,SOUTHANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,55201,Trading
U05005AN2018PTC005396,AQUATROPICS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-02-15,"SURVEY NO 590,NEAR CARI GATE,CARI ROAD, BATHUBASTI   GARACHARMA, PORT BLAIR TEHSIL,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,05005,Agriculture and Allied Activities
U63030AN2019PTC005435,MAYARS TRAVELS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2019-01-25,"Survey No.1276/1, Door No.23-MB, MG Road   Middle Point Port Blair Tehsil,,ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U63040AN2022PTC005616,ANDAMAN BLACK CLOUD TOURISM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-09-05,"C/O-N VIJAYAN, LOKNATH COLONY   DOLLY GUNJ, ANDAMAN AND NICOBAR,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,63040,"Transport, storage and Communications"
U63090AN2012PTC000179,WOODLAND TRAVELS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,200000.00,200000.00,2012-08-21,"SHOP NO. 6 ISLAND ARCADE   JUNGLIGHAT,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,63090,"Transport, storage and Communications"
U68200AN2024PTC006077,NAZCON DREAM PROJECTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,20000.00,2024-01-19,"173/3 ZUBAIDA MANZIL,MG ROAD, JUNGLIGHAT,Portblair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,68200,Real Estate and Renting
U45200AN2022OPC005614,KTHANKACHAN AND SONS (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,1000000.00,100000.00,2022-08-30,"552 Near Ananda Marga School Port Blair   South Andaman,Andaman,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,45200,Construction
U65923AN2015PTC000260,ISLANDERS MARGIN FREE FINSERVICE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,400000.00,2015-05-26,"Rahiman Basera, First Floor,   Marine Hill (Village Phoenix Bay),Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,65923,Finance
U46909AN2024OPC006089,VRISHAANK TRADING (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2024-03-16,"SHRI. JAI PRAKASH NARAYAN,2 C/O JODAKNILAN,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,46909,Trading
U80904AN2020OPC005506,SACCA INSTITUTE OF FREIGHT AND TOURISM (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,500000.00,100000.00,2020-11-28,"No. 4 MG ROAD, 3rd Cross Street, Junglighat   Port Blair Tehsil,Andaman,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,80904,"Community, personal and Social Services"
U52390AN2014PTC000232,S.L ENTERPRISES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,800000.00,2014-09-09,"PROTHRAPUR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,52390,Trading
U50500AN2000PTC000065,ANDAMAN & NICOBAR TECHNOLOGY LAB PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,0.00,2000-12-27,"MB 06 MoulanA Azad Road   Phonenix Bay,Port Blair,Andaman and Nicobar Islands,744102-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,50500,Trading
U51103AN2009PTC000127,VENKATESHWARA HARDWARE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,1692800.00,2009-12-10,"NO. 33 SISTY NAGAR   ABERDEEN VILLAGE,PORT BLAIR,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,51103,Trading
U74900AN2014PTC000223,NANDA AGENCY HOUSE SHIPPING SERVICES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,20000000.00,13500000.00,2014-06-05,"171, Aberdeen Bazaar,,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744104-India",Unlisted,Active,andaman and nicobar islands,Indian,74900,Business Services
U61100AN1993PTC000037,SHAJEE SHIPPING COMPANY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,20000.00,1993-05-19,"No 3  4 Krishna Building 1st Floor   Haddo Road,NA,Andaman and Nicobar Islands,744104-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,61100,"Transport, storage and Communications"
U61100AN1998PTC000058,KERSI NOBLE OCEANIC TRANSIT SYSTEMS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,0.00,1998-02-24,"Lillypur, Haddoy   Port Blair,NA,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,61100,"Transport, storage and Communications"
U45309AN2017PTC005385,SWATHI ANDAMAN INFRASTRUCTURE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2017-12-11,"C/o S. Subramanian, House No 1   Brookshabad Village,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744112-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45309,Construction
U45309AN2019PTC005465,S.C.B PROJECTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000.00,100000.00,2019-09-16,"249 NEAR AUTO SERVICING CENTRE,   MACCHI LINE,SHADIPUR, SOUTH ANDAMAN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45309,Construction
